Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
PG,29,77,77,37.0,6.6,15.6,0.42700000000000005,2.8,7.1,0.38799999999999996,3.9,8.5,0.461,0.516,5.2,6.4,0.8109999999999999,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2
PF,23,76,74,33.1,5.5,11.7,0.469,1.1,3.1,0.335,4.4,8.6,0.518,0.514,2.7,3.2,0.831,1.3,5.4,6.7,2.2,0.9,0.5,1.4,2.0,14.7
PF,24,50,11,20.9,3.3,7.3,0.452,0.5,1.6,0.316,2.8,5.8,0.49,0.486,1.5,2.3,0.664,1.2,3.0,4.2,0.8,0.5,0.8,1.0,1.7,8.7
PG,26,5,0,9.0,0.4,2.0,0.2,0.2,0.8,0.25,0.2,1.2,0.16699999999999998,0.25,0.6,0.8,0.75,0.2,0.6,0.8,0.8,0.0,0.0,0.2,0.4,1.6
PG,31,80,31,27.4,3.5,8.5,0.406,0.8,2.7,0.282,2.7,5.9,0.46299999999999997,0.45,1.9,2.2,0.847,0.5,2.8,3.2,3.6,0.9,0.2,1.5,1.8,9.5
SF,28,81,2,15.3,1.5,3.6,0.426,1.0,2.6,0.386,0.5,1.0,0.531,0.565,0.2,0.2,0.722,0.2,1.6,1.9,1.2,0.7,0.0,0.8,1.2,4.2
SF,23,2,0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0
SF,25,70,2,12.2,1.0,2.8,0.371,0.4,1.4,0.273,0.6,1.4,0.474,0.441,0.5,0.6,0.81,0.4,1.5,1.9,0.6,0.5,0.3,0.6,1.4,2.9
SG,21,76,76,32.1,4.7,10.1,0.469,1.4,3.9,0.354,3.3,6.2,0.5429999999999999,0.5379999999999999,1.4,1.8,0.82,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3
C,28,72,0,11.6,2.7,6.3,0.43200000000000005,0.3,0.9,0.387,2.4,5.5,0.439,0.45799999999999996,1.3,1.6,0.825,1.1,2.3,3.3,0.8,0.3,0.5,0.9,1.6,7.1
SF,28,80,46,24.6,2.3,5.2,0.451,0.7,2.2,0.316,1.6,3.0,0.55,0.518,0.7,1.0,0.695,0.7,2.2,3.0,1.0,0.5,0.4,0.5,2.2,6.1
PG,19,68,66,30.4,4.8,13.3,0.364,1.1,3.4,0.319,3.8,9.9,0.379,0.40399999999999997,2.1,3.1,0.67,0.5,2.9,3.4,5.5,1.0,0.5,3.2,2.1,12.8
PG,23,76,6,16.6,2.0,5.1,0.39399999999999996,0.3,1.3,0.22,1.7,3.8,0.45399999999999996,0.42200000000000004,1.3,1.6,0.78,0.3,1.6,1.9,2.3,0.7,0.1,1.1,1.3,5.6
PG,23,78,17,22.4,2.8,6.4,0.442,0.5,1.4,0.361,2.3,5.1,0.46399999999999997,0.48100000000000004,1.1,1.4,0.7759999999999999,0.4,1.9,2.3,4.4,1.2,0.2,1.9,1.6,7.3
PF,20,78,56,15.1,1.5,3.6,0.42100000000000004,0.1,0.6,0.239,1.4,3.0,0.457,0.441,0.5,0.7,0.745,1.2,2.7,3.9,0.4,0.3,0.3,0.6,1.9,3.6
C,26,12,0,6.8,0.9,2.1,0.44,0.0,0.2,0.0,0.9,1.9,0.478,0.44,0.2,0.2,1.0,0.5,0.8,1.3,0.2,0.1,0.2,0.7,1.6,2.0
PF,26,79,28,20.2,2.4,4.7,0.516,0.0,0.0,0.0,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4
PF,28,8,0,9.1,1.1,3.4,0.33299999999999996,0.0,0.0,0.0,1.1,3.4,0.33299999999999996,0.33299999999999996,0.5,1.5,0.33299999999999996,2.4,1.1,3.5,0.3,0.1,0.6,0.0,1.5,2.8
PF,28,74,56,25.4,3.8,8.9,0.424,1.3,3.5,0.371,2.5,5.4,0.45799999999999996,0.496,1.5,2.1,0.721,1.9,3.5,5.4,0.9,0.7,0.4,1.0,2.3,10.4
C,25,51,10,12.9,1.7,3.2,0.537,0.0,0.0,0.0,1.7,3.1,0.544,0.537,0.8,1.2,0.7290000000000001,1.1,2.3,3.4,0.4,0.4,1.0,0.5,1.5,4.3
SF,24,1,0,24.0,2.0,10.0,0.2,2.0,5.0,0.4,0.0,5.0,0.0,0.3,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,6.0
PF,32,10,0,4.4,0.8,1.8,0.444,0.7,1.5,0.467,0.1,0.3,0.33299999999999996,0.639,0.1,0.1,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.1,0.3,2.4
SG,23,79,79,32.2,5.2,12.3,0.42,2.0,5.7,0.359,3.1,6.6,0.47200000000000003,0.503,2.2,2.5,0.86,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,14.5
PG,27,45,23,26.6,4.4,10.8,0.405,0.7,2.3,0.324,3.6,8.5,0.42700000000000005,0.439,1.2,1.4,0.8,0.2,3.1,3.4,3.7,0.8,0.1,1.7,2.3,10.6
PF,27,70,16,21.7,3.2,7.0,0.452,0.6,1.7,0.385,2.5,5.3,0.473,0.498,0.6,0.8,0.755,1.2,3.0,4.2,1.4,0.8,0.7,0.9,2.6,7.5
PF,25,81,81,34.7,5.0,10.1,0.49,1.2,3.2,0.38799999999999996,3.7,6.9,0.537,0.551,2.8,4.1,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0
SG,39,60,3,16.8,2.2,5.7,0.38799999999999996,1.0,2.8,0.349,1.2,2.9,0.425,0.474,1.2,1.4,0.833,0.5,1.9,2.4,0.9,0.6,0.3,0.6,1.7,6.6
SG,23,79,79,32.3,6.0,13.9,0.433,1.4,4.1,0.34700000000000003,4.6,9.8,0.46799999999999997,0.483,2.1,2.6,0.804,1.2,2.8,4.0,2.4,1.1,0.1,1.7,2.1,15.5
PF,24,82,34,27.7,3.0,5.1,0.588,0.0,0.0,0.0,3.0,5.1,0.588,0.588,1.8,3.0,0.616,3.3,5.7,9.0,0.8,0.5,0.6,0.7,2.5,7.8
PF,26,67,27,18.7,3.3,7.0,0.48100000000000004,0.6,1.6,0.382,2.7,5.3,0.511,0.526,1.1,1.5,0.762,1.1,4.4,5.6,1.1,0.6,0.4,1.1,1.9,8.5
SG,26,78,78,35.9,7.9,17.7,0.446,0.6,1.8,0.33799999999999997,7.3,15.9,0.45799999999999996,0.46299999999999997,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5
SG,25,54,5,24.4,2.1,5.6,0.374,0.8,2.7,0.295,1.3,2.9,0.447,0.444,0.7,0.9,0.784,0.6,3.2,3.8,1.7,1.0,0.4,1.1,2.2,5.8
SG,35,79,5,26.9,4.8,11.9,0.40399999999999997,1.5,4.4,0.34,3.3,7.5,0.44,0.466,3.1,3.4,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2
PG,29,74,73,34.1,4.4,10.0,0.441,1.7,4.2,0.408,2.7,5.7,0.466,0.528,1.5,2.0,0.76,0.8,3.2,4.0,3.5,1.1,0.2,1.4,2.0,12.1
C,35,30,2,6.9,1.0,1.9,0.509,0.5,1.1,0.441,0.5,0.8,0.609,0.64,0.1,0.1,0.75,0.1,0.8,0.9,0.3,0.2,0.0,0.1,0.5,2.5
SF,25,80,80,36.2,6.5,15.0,0.433,1.8,5.1,0.349,4.7,9.9,0.47700000000000004,0.493,4.9,6.0,0.8240000000000001,0.8,4.2,5.0,3.7,1.2,0.3,2.5,2.3,19.7
PF,22,51,1,13.8,2.2,4.4,0.514,0.2,0.9,0.182,2.1,3.5,0.596,0.532,1.0,1.5,0.6890000000000001,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,5.6
SF,34,81,81,33.4,4.7,10.6,0.439,1.5,3.9,0.38299999999999995,3.2,6.7,0.47100000000000003,0.509,1.5,1.8,0.831,0.6,3.0,3.6,3.9,0.8,0.0,2.0,1.8,12.2
SF,25,67,49,28.4,4.1,10.6,0.385,2.5,7.2,0.353,1.6,3.4,0.452,0.504,2.1,2.6,0.7909999999999999,1.0,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8
C,21,77,35,19.1,3.0,5.2,0.5820000000000001,0.0,0.0,0.0,3.0,5.1,0.583,0.5820000000000001,1.0,2.7,0.379,2.5,3.9,6.4,0.6,0.8,1.2,0.8,2.5,7.0
PG,27,8,0,6.3,1.1,2.5,0.45,0.1,1.1,0.111,1.0,1.4,0.727,0.475,0.4,0.5,0.75,0.1,0.1,0.3,0.5,0.8,0.3,0.9,0.5,2.8
C,29,71,71,25.6,3.7,6.3,0.589,0.0,0.0,0.0,3.7,6.3,0.589,0.589,1.9,3.2,0.5870000000000001,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3
SF,29,26,22,30.2,4.0,10.4,0.389,1.8,4.5,0.39,2.3,5.8,0.38799999999999996,0.474,1.2,1.9,0.6,1.2,3.5,4.7,1.0,1.7,0.2,1.1,2.4,11.0
C,38,5,0,3.8,0.6,1.0,0.6,0.0,0.0,0.0,0.6,1.0,0.6,0.6,0.4,0.4,1.0,0.2,0.6,0.8,0.0,0.0,0.0,0.6,0.8,1.6
SG,23,81,8,26.0,3.8,8.4,0.45899999999999996,1.4,3.5,0.39299999999999996,2.5,4.9,0.506,0.541,1.2,1.4,0.867,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,10.3
SG,28,72,0,19.9,3.2,7.3,0.439,0.7,1.9,0.353,2.6,5.5,0.46799999999999997,0.484,1.6,2.0,0.767,0.4,2.5,2.9,1.0,0.5,0.3,0.9,1.2,8.7
PF,35,59,4,11.8,0.8,1.8,0.45899999999999996,0.0,0.0,0.0,0.8,1.8,0.467,0.45899999999999996,0.4,0.6,0.6970000000000001,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1
SG,19,76,51,27.7,4.8,11.4,0.423,1.3,3.8,0.34299999999999997,3.5,7.6,0.46399999999999997,0.48,2.8,3.4,0.84,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3.0,13.8
SF,27,72,72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2
PF,22,19,0,4.4,0.4,1.4,0.29600000000000004,0.2,0.7,0.214,0.3,0.7,0.385,0.35200000000000004,0.5,0.5,0.9,0.3,0.9,1.2,0.0,0.3,0.0,0.2,0.4,1.5
PG,28,62,0,19.0,2.4,5.6,0.423,1.1,2.7,0.405,1.3,2.9,0.44,0.52,1.7,2.1,0.805,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,7.5
SF,35,76,45,28.8,3.5,9.1,0.381,1.6,4.9,0.322,1.9,4.3,0.449,0.467,1.5,1.8,0.804,1.1,4.4,5.5,2.1,1.0,0.8,1.6,3.1,10.0
SF,24,73,7,23.9,3.7,8.6,0.431,1.8,4.6,0.386,1.9,3.9,0.484,0.536,0.7,0.8,0.79,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,9.9
C,20,82,82,32.0,7.6,14.1,0.542,0.4,1.1,0.341,7.3,13.0,0.5589999999999999,0.555,2.7,3.4,0.8109999999999999,2.8,7.7,10.5,2.0,0.7,1.7,2.2,3.0,18.3
PF,30,55,7,16.0,2.3,6.3,0.364,0.7,2.6,0.287,1.6,3.7,0.41700000000000004,0.423,0.7,1.2,0.552,0.9,2.6,3.5,1.6,0.6,0.9,1.4,2.1,6.0
C,31,76,69,26.4,2.9,6.2,0.466,0.0,0.0,0.0,2.9,6.1,0.469,0.466,2.8,3.6,0.768,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6
C,23,11,0,6.6,1.0,1.7,0.579,0.0,0.0,0.0,1.0,1.7,0.579,0.579,0.3,0.7,0.375,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,2.3
C,22,66,39,21.4,2.9,5.1,0.563,0.0,0.0,0.0,2.9,5.1,0.5670000000000001,0.563,1.2,1.9,0.648,2.0,3.3,5.3,0.6,0.7,1.0,0.7,2.2,7.0
PF,26,67,64,25.3,5.2,9.3,0.5579999999999999,0.0,0.0,0.5,5.2,9.3,0.5579999999999999,0.5579999999999999,2.0,3.3,0.613,3.5,5.2,8.7,1.2,0.5,0.9,1.4,2.5,12.5
SF,23,21,0,14.5,1.2,3.3,0.35700000000000004,0.6,1.9,0.325,0.6,1.4,0.4,0.45,0.6,0.8,0.765,0.4,1.1,1.5,0.7,0.3,0.3,0.3,1.9,3.6
PG,25,76,14,24.6,2.7,6.7,0.405,1.3,3.1,0.41,1.4,3.6,0.401,0.501,0.8,0.9,0.8640000000000001,0.4,1.7,2.1,4.4,0.6,0.1,1.5,2.3,7.5
SF,31,75,11,23.4,2.5,5.0,0.505,0.6,1.7,0.33899999999999997,1.9,3.3,0.589,0.562,0.8,1.3,0.626,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,6.4
SF,22,75,73,30.3,4.5,9.6,0.473,1.3,3.6,0.36700000000000005,3.2,6.0,0.536,0.541,1.3,1.7,0.754,1.3,3.9,5.2,1.6,1.4,0.4,0.9,2.2,11.6
PF,20,17,0,8.5,1.3,3.1,0.415,0.2,0.6,0.364,1.1,2.5,0.429,0.45299999999999996,0.8,1.2,0.619,0.8,1.5,2.2,0.2,0.3,0.4,0.1,0.6,3.6
PF,20,78,37,23.9,3.5,7.4,0.473,0.5,1.8,0.29600000000000004,3.0,5.6,0.531,0.509,1.7,2.5,0.6679999999999999,2.0,4.5,6.5,1.6,0.8,0.7,0.8,2.0,9.2
PG,24,30,6,13.3,1.4,3.9,0.364,0.5,1.6,0.327,0.9,2.3,0.391,0.43200000000000005,0.3,0.4,0.6920000000000001,0.1,0.9,0.9,2.4,0.5,0.1,1.4,1.0,3.7
SG,26,82,82,38.1,8.7,19.7,0.439,2.9,8.0,0.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0
SF,36,35,5,16.9,1.6,5.1,0.311,0.7,2.4,0.31,0.8,2.7,0.312,0.384,1.1,1.6,0.7020000000000001,0.5,2.0,2.5,0.8,0.6,0.3,0.4,1.9,5.0
SG,24,31,3,25.7,4.4,10.8,0.41,1.0,2.5,0.405,3.4,8.2,0.41200000000000003,0.45799999999999996,3.4,4.5,0.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3
C,26,60,3,11.8,2.3,4.8,0.47600000000000003,0.0,0.0,0.0,2.3,4.8,0.47600000000000003,0.47600000000000003,1.5,1.8,0.815,1.0,1.9,3.0,0.5,0.2,0.4,0.8,1.6,6.1
SG,28,61,8,18.2,3.5,8.9,0.39899999999999997,1.5,4.4,0.337,2.0,4.5,0.46,0.48200000000000004,1.1,1.3,0.848,0.6,1.8,2.5,1.4,0.8,0.1,0.8,1.5,9.7
SF,35,48,0,9.6,1.2,3.0,0.408,0.9,2.2,0.39399999999999996,0.4,0.8,0.447,0.5529999999999999,0.4,0.5,0.8079999999999999,0.2,0.9,1.0,0.3,0.2,0.2,0.3,1.0,3.7
SG,32,55,13,19.9,2.8,7.6,0.37200000000000005,0.9,2.5,0.36,1.9,5.1,0.37799999999999995,0.431,2.8,3.1,0.89,0.3,1.7,2.0,1.1,0.5,0.1,1.0,1.5,9.3
SF,23,2,0,3.0,1.5,2.0,0.75,0.0,0.5,0.0,1.5,1.5,1.0,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
C,27,73,73,33.7,8.1,15.8,0.511,0.0,0.2,0.14300000000000002,8.1,15.7,0.515,0.512,4.3,5.5,0.787,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9,20.6
PG,29,58,1,22.0,3.2,7.6,0.413,0.3,1.4,0.24100000000000002,2.8,6.2,0.45299999999999996,0.436,2.3,2.7,0.8290000000000001,0.3,2.4,2.7,2.4,0.7,0.1,1.3,1.3,8.9
PF,29,81,81,28.9,4.2,9.2,0.452,1.9,4.7,0.402,2.3,4.6,0.504,0.5539999999999999,1.5,1.8,0.833,1.6,4.9,6.4,1.4,0.7,1.0,0.8,1.6,11.7
PF,32,70,32,17.1,2.2,5.0,0.43799999999999994,1.3,3.4,0.387,0.9,1.6,0.545,0.569,0.4,0.5,0.857,0.5,2.8,3.3,1.0,0.4,0.4,0.6,1.8,6.1
PG,26,31,31,34.2,7.2,15.9,0.45299999999999996,1.5,4.2,0.37200000000000005,5.6,11.7,0.48200000000000004,0.502,4.5,5.5,0.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4
PF,26,64,45,25.5,4.8,11.2,0.425,0.7,2.4,0.303,4.0,8.8,0.45799999999999996,0.45799999999999996,1.7,2.3,0.735,1.1,4.4,5.5,1.9,0.9,0.5,2.1,2.9,12.0
PG,24,15,0,4.4,0.5,1.5,0.318,0.1,0.3,0.2,0.4,1.1,0.353,0.341,0.5,0.9,0.615,0.1,0.5,0.6,0.7,0.3,0.1,0.5,0.3,1.5
PG,33,39,15,26.6,2.9,7.9,0.368,1.1,3.7,0.299,1.8,4.2,0.429,0.43799999999999994,0.8,0.9,0.857,0.5,2.5,2.9,4.9,0.6,0.1,1.7,2.6,7.7
SG,34,64,57,25.3,3.4,7.3,0.45799999999999996,0.2,0.7,0.35700000000000004,3.1,6.7,0.46799999999999997,0.474,1.4,2.2,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4
SG,19,70,6,14.3,1.2,3.8,0.305,0.6,2.1,0.293,0.5,1.7,0.319,0.385,0.2,0.2,0.8,0.2,1.1,1.3,0.6,0.4,0.2,0.4,1.0,3.1
SG,30,68,6,13.6,2.0,4.9,0.408,1.2,3.0,0.387,0.8,1.9,0.442,0.527,0.4,0.6,0.7440000000000001,0.1,0.8,0.9,0.4,0.3,0.1,0.3,0.9,5.6
SG,23,67,7,21.9,3.4,7.7,0.43799999999999994,0.9,2.8,0.335,2.4,4.9,0.495,0.498,1.2,1.7,0.6809999999999999,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2.0,8.9
PG,24,55,0,10.9,1.2,3.7,0.33799999999999997,0.6,1.9,0.327,0.6,1.8,0.35100000000000003,0.423,0.6,0.8,0.733,0.2,0.8,1.0,1.8,0.4,0.0,0.8,0.7,3.7
PF,28,42,1,14.2,1.3,3.5,0.37200000000000005,0.3,1.2,0.245,1.0,2.4,0.434,0.41200000000000003,0.7,1.0,0.7,0.5,2.0,2.5,1.9,0.4,0.2,0.7,1.6,3.6
PG,23,41,0,9.4,1.5,4.1,0.36700000000000005,0.2,1.1,0.217,1.3,3.0,0.423,0.396,0.5,0.6,0.8,0.1,1.1,1.2,1.6,0.4,0.0,0.8,0.7,3.8
C,22,78,46,23.3,3.4,8.0,0.423,0.0,0.1,0.14300000000000002,3.4,7.9,0.426,0.424,2.2,3.1,0.728,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,9.0
SG,26,55,2,14.8,2.2,4.4,0.504,0.3,0.9,0.38299999999999995,1.9,3.5,0.5329999999999999,0.541,1.3,1.7,0.75,0.3,1.5,1.7,1.1,0.4,0.1,1.0,1.9,6.0
SG,23,14,0,17.4,2.3,5.5,0.41600000000000004,0.6,1.6,0.391,1.6,3.9,0.426,0.474,0.5,1.0,0.5,0.2,2.0,2.2,1.6,0.9,0.2,1.1,1.8,5.7
PG,21,57,13,19.5,3.1,7.4,0.41700000000000004,0.4,1.7,0.23199999999999998,2.7,5.7,0.474,0.444,2.3,3.4,0.674,0.5,2.0,2.5,2.1,0.5,0.2,1.8,1.5,8.9
PG,32,32,32,32.1,4.4,11.2,0.391,1.0,3.2,0.304,3.4,8.0,0.426,0.434,3.1,3.5,0.893,0.3,4.0,4.3,7.4,1.1,0.2,2.9,2.4,12.8
PG,27,12,0,5.3,0.5,0.9,0.545,0.0,0.2,0.0,0.5,0.8,0.667,0.545,0.8,0.9,0.909,0.0,0.6,0.6,1.4,0.3,0.0,0.5,0.3,1.8
SF,24,17,2,9.1,0.7,2.4,0.3,0.2,0.9,0.267,0.5,1.5,0.32,0.35,0.2,0.2,0.75,0.2,1.3,1.5,0.4,0.1,0.2,0.5,0.9,1.8
PF,22,61,61,35.5,9.2,18.6,0.493,0.6,1.8,0.324,8.6,16.9,0.511,0.508,5.3,7.0,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3
SF,35,31,30,22.7,2.5,6.1,0.41,1.3,3.2,0.39399999999999996,1.2,2.9,0.42700000000000005,0.513,0.9,1.2,0.784,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,7.2
SG,28,20,0,8.7,0.6,2.0,0.282,0.1,0.6,0.083,0.5,1.4,0.37,0.295,0.7,0.9,0.722,0.3,1.5,1.8,1.0,0.4,0.2,0.5,1.7,1.8
PF,37,75,75,31.5,6.6,14.8,0.44799999999999995,1.7,4.6,0.368,5.0,10.3,0.483,0.504,3.3,3.7,0.893,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,18.3
PG,22,80,6,20.3,4.1,9.8,0.42100000000000004,1.0,3.0,0.322,3.2,6.8,0.465,0.47100000000000003,1.8,2.3,0.7909999999999999,0.3,2.2,2.6,4.4,0.9,0.1,2.3,1.7,11.0
SG,22,12,0,3.5,0.4,1.6,0.263,0.1,0.8,0.111,0.3,0.8,0.4,0.289,0.3,0.3,0.75,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.1,1.2
PF,21,16,0,3.6,0.5,1.4,0.364,0.0,0.0,0.0,0.5,1.4,0.364,0.364,0.3,0.6,0.5,0.4,0.4,0.8,0.1,0.0,0.7,0.1,0.3,1.3
SF,27,20,0,18.2,5.4,10.3,0.522,0.2,0.5,0.33299999999999996,5.2,9.8,0.531,0.529,1.9,2.5,0.7759999999999999,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2.0,12.8
PG,24,9,0,4.7,0.6,1.4,0.385,0.1,0.6,0.2,0.4,0.9,0.5,0.423,0.2,0.2,1.0,0.3,0.3,0.7,0.3,0.1,0.0,0.0,0.4,1.4
C,26,46,13,16.7,2.7,5.0,0.5479999999999999,0.0,0.0,0.0,2.7,5.0,0.5479999999999999,0.5479999999999999,1.5,2.9,0.53,2.0,3.6,5.6,0.7,0.4,1.1,0.8,2.0,7.0
SG,24,77,39,25.5,3.4,9.4,0.36,2.3,6.3,0.363,1.1,3.1,0.354,0.48200000000000004,1.9,2.3,0.833,0.3,2.0,2.3,1.8,0.7,0.2,1.2,1.7,11.0
SF,36,46,0,9.4,1.1,2.3,0.47100000000000003,0.3,1.1,0.306,0.7,1.2,0.618,0.5429999999999999,0.2,0.3,0.688,0.1,1.2,1.2,0.5,0.3,0.5,0.2,0.2,2.7
PF,22,66,4,13.0,1.3,3.2,0.41100000000000003,0.0,0.0,1.0,1.3,3.2,0.409,0.414,0.4,0.6,0.675,1.0,1.7,2.7,0.5,0.3,0.1,0.5,1.5,3.0
C,24,39,0,12.7,1.5,2.7,0.5479999999999999,0.0,0.0,0.0,1.5,2.7,0.5479999999999999,0.5479999999999999,0.5,1.2,0.42200000000000004,1.1,2.9,4.0,0.4,0.4,0.5,0.6,2.0,3.4
PG,26,82,79,32.2,7.2,16.9,0.428,2.0,5.7,0.359,5.2,11.2,0.462,0.488,5.8,6.6,0.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2
SF,23,82,0,20.5,3.9,8.3,0.465,0.5,1.9,0.289,3.3,6.5,0.516,0.498,2.3,3.0,0.764,1.2,2.0,3.3,0.6,0.3,0.1,0.9,1.1,10.5
C,23,29,1,7.8,1.0,1.5,0.636,0.0,0.1,0.33299999999999996,0.9,1.4,0.659,0.648,0.3,0.5,0.5329999999999999,0.6,1.0,1.6,0.2,0.4,0.4,0.4,1.0,2.2
SG,24,80,80,34.8,8.0,17.9,0.44799999999999995,2.5,5.9,0.41700000000000004,5.6,12.0,0.46299999999999997,0.517,2.3,2.8,0.8270000000000001,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,20.8
PG,29,61,18,20.7,3.0,7.3,0.41100000000000003,1.3,3.3,0.39899999999999997,1.7,4.0,0.42100000000000004,0.502,1.4,1.6,0.848,0.4,1.9,2.3,2.6,1.1,0.1,1.0,2.1,8.7
SF,25,69,13,19.9,3.3,6.9,0.48100000000000004,0.4,1.1,0.385,2.9,5.7,0.5,0.513,1.3,1.6,0.784,0.6,2.7,3.2,1.9,0.6,0.1,1.4,2.0,8.3
C,26,29,0,7.5,1.0,2.3,0.41200000000000003,0.0,0.0,0.0,1.0,2.3,0.418,0.41200000000000003,0.2,0.4,0.385,0.7,1.3,2.0,0.4,0.3,0.1,0.5,1.8,2.1
