Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
SG,34,80,80,30.0,3.4,7.7,0.435,2.0,5.0,0.39799999999999996,1.4,2.7,0.502,0.563,0.6,0.7,0.833,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2.0,9.2
SG,31,75,75,28.0,5.6,11.7,0.48,2.7,5.6,0.475,3.0,6.1,0.484,0.593,2.4,2.7,0.888,0.1,1.7,1.9,1.4,0.6,0.1,1.0,1.8,16.3
C,29,47,7,10.0,1.1,2.3,0.48100000000000004,0.1,0.3,0.33299999999999996,1.0,2.0,0.505,0.505,0.8,1.1,0.7040000000000001,0.7,2.2,2.9,0.6,0.3,0.4,0.3,1.7,3.1
SF,22,47,4,22.8,4.7,9.4,0.501,0.6,1.5,0.4,4.1,7.9,0.52,0.5329999999999999,1.0,1.4,0.703,1.2,1.9,3.1,0.9,0.8,0.3,0.7,2.0,11.0
SF,27,68,2,14.4,1.3,3.3,0.389,0.4,1.4,0.309,0.8,1.8,0.452,0.457,0.4,0.6,0.659,0.7,1.3,2.1,0.4,0.4,0.1,0.5,1.8,3.4
SG,23,28,0,8.9,0.8,2.5,0.29600000000000004,0.3,1.1,0.25,0.5,1.4,0.33299999999999996,0.35200000000000004,0.4,0.9,0.41700000000000004,0.2,1.1,1.4,0.4,0.5,0.0,0.3,0.9,2.1
PG,21,46,7,14.2,1.8,4.1,0.449,0.3,0.8,0.33299999999999996,1.5,3.2,0.48,0.484,0.5,0.7,0.735,0.3,1.3,1.6,2.1,0.5,0.0,1.0,1.4,4.5
PG,24,82,7,24.8,2.8,7.2,0.39299999999999996,0.9,2.7,0.344,1.9,4.4,0.423,0.45799999999999996,1.0,1.4,0.754,0.5,3.0,3.5,2.5,0.9,0.3,0.7,2.2,7.6
C,23,31,4,10.4,1.3,2.3,0.556,0.0,0.1,0.0,1.3,2.2,0.588,0.556,0.8,1.1,0.7140000000000001,1.0,2.3,3.3,0.8,0.2,0.4,0.4,1.0,3.4
SG,30,79,65,29.5,3.7,8.1,0.45399999999999996,1.0,2.7,0.37799999999999995,2.6,5.3,0.493,0.518,1.3,1.5,0.8390000000000001,0.4,2.2,2.6,1.7,1.1,0.4,0.9,1.7,9.6
PF,20,8,0,4.5,0.6,1.3,0.5,0.0,0.0,0.0,0.6,1.3,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
C,28,73,11,20.7,3.8,7.5,0.506,0.0,0.0,0.0,3.8,7.5,0.507,0.506,1.2,1.7,0.7120000000000001,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8
SG,24,62,6,15.8,2.0,5.2,0.39399999999999996,0.6,2.0,0.314,1.4,3.2,0.44299999999999995,0.45299999999999996,1.1,1.5,0.755,0.4,1.6,2.0,1.5,0.6,0.2,0.9,1.5,5.9
C,25,14,4,18.8,2.4,5.5,0.429,0.0,0.0,0.0,2.4,5.5,0.429,0.429,1.8,2.1,0.833,1.5,3.6,5.1,0.6,0.6,1.0,0.9,2.6,6.5
PG,23,64,0,21.3,4.1,9.9,0.413,1.4,4.0,0.344,2.7,5.9,0.46,0.483,1.0,1.3,0.8170000000000001,0.3,1.5,1.8,2.3,0.5,0.1,1.3,1.3,10.6
SG,20,29,0,6.9,0.4,1.2,0.306,0.2,0.9,0.231,0.2,0.3,0.5,0.389,0.0,0.1,0.25,0.1,0.8,0.9,0.3,0.2,0.0,0.2,0.6,1.0
PG,23,81,53,18.5,2.2,5.2,0.431,0.8,2.0,0.395,1.4,3.2,0.45299999999999996,0.507,0.6,0.9,0.743,0.2,1.3,1.5,2.1,0.8,0.0,1.3,1.5,5.9
SF,21,77,52,26.8,3.3,7.8,0.419,0.5,1.9,0.24,2.8,5.9,0.47700000000000004,0.44799999999999995,2.8,4.2,0.6579999999999999,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,9.7
PF,33,29,0,7.0,0.7,1.8,0.358,0.0,0.0,0.0,0.7,1.8,0.358,0.358,0.5,0.9,0.519,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,1.8
PF,30,44,0,7.8,0.7,1.6,0.451,0.0,0.1,0.667,0.7,1.5,0.441,0.465,0.9,1.5,0.585,0.9,1.1,2.0,0.2,0.3,0.2,0.3,1.3,2.4
C,31,70,66,20.7,2.5,4.0,0.627,0.0,0.0,1.0,2.5,4.0,0.626,0.629,0.3,0.7,0.48,1.7,5.3,7.0,2.3,0.5,1.6,1.2,3.2,5.4
SG,24,43,3,11.2,1.7,3.7,0.444,0.4,1.2,0.314,1.3,2.5,0.505,0.494,0.5,0.6,0.833,0.2,1.1,1.3,0.8,0.2,0.0,0.6,0.5,4.1
PG,35,58,2,17.0,1.6,4.1,0.38799999999999996,0.9,2.6,0.344,0.7,1.5,0.461,0.496,0.3,0.3,0.8,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4
PG,19,80,48,28.2,4.9,12.0,0.41,1.6,4.6,0.35100000000000003,3.3,7.3,0.447,0.478,1.8,2.4,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2
PG,24,23,0,12.3,1.3,3.4,0.385,0.2,0.8,0.222,1.1,2.6,0.433,0.41,0.6,1.1,0.52,0.1,1.2,1.3,3.3,0.8,0.2,1.4,1.2,3.3
SF,35,47,2,7.9,0.5,1.3,0.355,0.4,1.1,0.365,0.1,0.2,0.3,0.508,0.0,0.0,0.0,0.1,1.0,1.1,0.9,0.3,0.1,0.4,1.1,1.3
SG,21,2,0,7.5,1.0,3.0,0.33299999999999996,0.0,0.5,0.0,1.0,2.5,0.4,0.33299999999999996,1.5,2.5,0.6,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5
SF,24,26,0,5.7,0.8,2.5,0.308,0.6,1.8,0.319,0.2,0.7,0.278,0.423,0.3,0.3,1.0,0.1,0.8,0.9,0.2,0.2,0.0,0.0,0.2,2.4
PF,23,20,0,3.6,0.6,1.2,0.478,0.0,0.2,0.0,0.6,1.0,0.579,0.478,0.2,0.5,0.4,0.2,0.7,0.9,0.2,0.1,0.1,0.4,0.5,1.3
SG,31,40,2,20.2,3.8,8.1,0.465,1.0,2.5,0.41,2.8,5.6,0.489,0.528,1.2,1.4,0.855,0.3,1.8,2.1,1.2,0.5,0.0,0.7,1.4,9.8
SG,38,72,7,17.5,2.1,5.2,0.402,1.3,3.6,0.35600000000000004,0.8,1.6,0.504,0.525,0.4,0.5,0.818,0.2,0.9,1.1,1.4,0.7,0.1,0.7,1.3,5.9
PG,33,41,14,18.2,3.2,7.4,0.43700000000000006,0.9,2.5,0.353,2.3,4.9,0.48,0.49700000000000005,0.9,1.0,0.905,0.1,1.6,1.8,2.4,0.3,0.1,1.4,1.5,8.2
PF,28,57,32,16.2,2.0,4.2,0.475,0.4,1.2,0.303,1.6,3.1,0.54,0.517,0.7,1.2,0.574,0.5,1.7,2.2,1.2,0.5,0.6,0.9,1.5,5.0
SG,22,36,0,8.8,1.0,2.7,0.36700000000000005,0.5,1.8,0.302,0.5,1.0,0.486,0.46399999999999997,0.2,0.2,0.857,0.1,1.0,1.0,0.4,0.4,0.1,0.3,0.8,2.7
SF,22,78,14,18.7,2.5,5.3,0.474,0.5,1.8,0.27899999999999997,2.0,3.5,0.5760000000000001,0.522,0.9,1.4,0.622,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4
C,26,73,43,29.1,5.7,9.3,0.606,0.0,0.0,0.0,5.7,9.3,0.606,0.606,2.9,4.5,0.65,3.3,8.6,11.8,0.4,0.6,3.7,1.9,2.8,14.2
PF,31,24,1,6.5,0.7,2.1,0.33299999999999996,0.4,1.5,0.278,0.3,0.6,0.467,0.431,0.3,0.3,0.857,0.0,0.4,0.4,0.5,0.1,0.0,0.3,0.7,2.1
SF,26,80,80,35.7,5.1,11.8,0.434,1.4,3.7,0.36200000000000004,3.8,8.1,0.467,0.491,2.5,3.4,0.7490000000000001,1.1,3.9,5.1,2.5,0.8,0.3,1.8,2.1,14.1
C,26,78,14,19.0,3.0,5.7,0.532,0.0,0.0,0.0,3.0,5.7,0.532,0.532,0.7,1.3,0.5479999999999999,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,6.8
SG,30,72,25,14.7,1.5,3.6,0.42700000000000005,0.9,2.2,0.414,0.6,1.4,0.447,0.552,0.3,0.4,0.643,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,4.2
PG,24,41,6,11.6,1.3,3.6,0.377,0.4,1.0,0.35700000000000004,1.0,2.5,0.385,0.428,0.3,0.4,0.8,0.2,1.0,1.1,1.5,0.3,0.2,0.6,0.7,3.3
SG,33,13,0,14.8,1.6,4.5,0.35600000000000004,0.9,2.8,0.324,0.7,1.7,0.409,0.45799999999999996,0.8,1.2,0.733,0.1,2.0,2.1,1.1,0.3,0.1,0.2,1.9,5.0
PG,29,72,72,32.8,5.8,12.2,0.47700000000000004,0.9,2.8,0.312,4.9,9.3,0.527,0.513,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1.0,0.2,2.6,2.6,14.1
SF,25,26,6,11.3,0.9,2.5,0.364,0.4,1.2,0.313,0.5,1.3,0.41200000000000003,0.439,0.3,0.5,0.643,0.3,1.2,1.5,0.6,0.5,0.2,0.8,0.9,2.6
SG,24,78,15,27.6,3.6,9.1,0.39899999999999997,1.1,3.1,0.358,2.5,6.0,0.42100000000000004,0.46,1.4,2.0,0.713,0.5,2.1,2.6,2.0,1.0,0.2,1.5,1.8,9.8
PG,19,37,0,15.5,1.5,4.2,0.359,0.4,1.4,0.302,1.1,2.8,0.38799999999999996,0.41,0.8,1.1,0.718,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,4.2
SF,22,73,40,15.9,1.9,4.3,0.442,0.2,0.9,0.222,1.7,3.5,0.496,0.46399999999999997,1.1,1.7,0.6559999999999999,0.6,2.0,2.6,0.6,0.3,0.5,1.0,1.9,5.1
C,27,54,4,9.4,1.9,3.2,0.603,0.0,0.0,0.0,1.9,3.2,0.603,0.603,1.6,2.1,0.763,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1.0,5.5
SG,23,72,52,33.0,5.9,13.5,0.43799999999999994,1.4,3.9,0.348,4.5,9.6,0.475,0.489,2.8,3.4,0.83,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16.0
SF,35,74,5,17.9,1.9,4.2,0.45799999999999996,0.9,2.3,0.382,1.0,1.9,0.5539999999999999,0.564,0.8,1.2,0.667,0.2,1.5,1.7,0.8,0.4,0.2,0.6,1.7,5.5
PG,25,79,79,30.7,6.8,15.7,0.434,1.5,4.2,0.353,5.3,11.5,0.46399999999999997,0.48200000000000004,3.7,4.3,0.8640000000000001,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8
SF,26,47,13,18.0,2.6,6.1,0.42200000000000004,0.9,2.3,0.40399999999999997,1.7,3.8,0.433,0.498,0.8,1.1,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7.0
SG,27,52,18,28.9,3.6,8.4,0.423,1.9,4.4,0.43700000000000006,1.6,4.0,0.408,0.539,1.3,1.7,0.778,0.4,2.3,2.7,3.1,0.9,0.2,1.4,2.1,10.4
PG,35,46,7,13.7,1.1,2.8,0.38,0.5,1.3,0.387,0.5,1.5,0.373,0.473,0.3,0.3,0.938,0.2,1.3,1.5,1.6,0.3,0.0,0.7,1.4,3.0
C,31,37,5,14.6,1.1,2.0,0.5329999999999999,0.0,0.0,0.0,1.1,2.0,0.5329999999999999,0.5329999999999999,0.3,0.7,0.44,0.7,2.8,3.5,0.8,0.3,0.3,1.1,1.7,2.5
SG,22,52,2,21.3,2.4,5.2,0.452,1.0,2.2,0.461,1.3,3.0,0.446,0.55,0.8,1.2,0.667,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,6.6
C,19,60,30,22.8,4.4,8.8,0.498,0.1,0.2,0.214,4.4,8.6,0.506,0.501,1.5,2.0,0.727,1.1,4.4,5.5,0.7,0.4,1.4,1.1,2.6,10.3
C,39,61,60,25.2,3.5,7.2,0.488,0.0,0.0,0.0,3.5,7.2,0.49,0.488,1.5,2.1,0.7020000000000001,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2.0,8.6
PG,22,12,0,13.3,1.6,4.5,0.35200000000000004,0.1,0.8,0.1,1.5,3.7,0.409,0.361,1.6,2.8,0.5760000000000001,0.3,1.1,1.4,1.8,0.3,0.0,0.6,1.7,4.8
PF,27,75,0,15.3,2.3,5.0,0.46799999999999997,0.8,2.1,0.392,1.5,2.9,0.523,0.551,0.7,0.8,0.794,0.7,2.0,2.7,1.0,0.3,0.2,0.6,1.4,6.2
PG,31,69,0,16.1,2.7,6.8,0.401,1.0,2.7,0.35700000000000004,1.8,4.1,0.43,0.47100000000000003,0.7,0.9,0.7659999999999999,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1
PF,24,5,0,11.0,1.0,2.4,0.41700000000000004,0.8,1.2,0.667,0.2,1.2,0.16699999999999998,0.583,0.0,0.8,0.0,0.4,1.6,2.0,0.0,0.2,0.4,0.6,0.6,2.8
C,31,52,52,34.4,6.3,13.6,0.46399999999999997,0.0,0.1,0.667,6.3,13.5,0.46299999999999997,0.465,3.9,4.7,0.8290000000000001,1.1,5.8,7.0,3.8,1.0,1.3,2.3,2.7,16.6
PF,27,59,5,22.3,2.9,6.5,0.442,0.7,1.8,0.40399999999999997,2.1,4.6,0.45799999999999996,0.5,1.7,2.0,0.857,0.6,1.6,2.2,0.9,0.4,0.1,1.0,1.8,8.2
SF,25,82,82,28.5,3.6,8.8,0.41600000000000004,1.5,4.3,0.361,2.1,4.5,0.46799999999999997,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2
PF,23,63,22,20.1,2.5,4.8,0.527,0.0,0.2,0.1,2.5,4.6,0.541,0.528,0.5,0.7,0.6809999999999999,1.6,3.3,5.0,0.7,0.9,0.4,0.7,2.0,5.5
SF,23,3,0,2.0,0.7,1.3,0.5,0.7,0.7,1.0,0.0,0.7,0.0,0.75,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,2.0
C,29,76,2,15.5,3.2,6.6,0.485,0.1,0.2,0.25,3.2,6.4,0.493,0.489,0.7,0.9,0.8059999999999999,0.7,2.2,2.9,0.8,0.4,0.9,0.8,2.1,7.2
PF,30,73,55,26.5,3.6,6.8,0.526,0.0,0.0,0.0,3.6,6.8,0.529,0.526,1.4,2.0,0.6920000000000001,2.8,4.1,6.9,1.5,0.6,1.1,1.1,2.5,8.6
SF,25,11,4,27.6,4.5,10.5,0.42200000000000004,1.2,4.1,0.289,3.3,6.5,0.507,0.478,1.3,1.9,0.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,11.4
C,29,81,81,23.2,2.2,5.1,0.44299999999999995,0.0,0.0,0.0,2.2,5.0,0.445,0.44299999999999995,1.4,1.8,0.807,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,5.9
SG,23,51,1,16.9,2.2,5.2,0.43,0.9,2.8,0.33799999999999997,1.3,2.4,0.537,0.521,1.0,1.1,0.893,0.1,1.5,1.7,1.0,0.4,0.1,0.5,0.9,6.4
SG,25,23,0,7.3,1.1,2.9,0.39399999999999996,0.4,1.0,0.391,0.7,1.9,0.395,0.462,0.4,0.5,0.75,0.0,0.5,0.5,0.4,0.4,0.1,0.1,0.7,3.0
PG,26,48,7,18.1,2.3,6.3,0.368,1.1,3.2,0.32899999999999996,1.3,3.1,0.409,0.452,1.2,1.6,0.731,0.3,1.7,2.0,3.5,0.6,0.1,1.2,1.2,6.9
SG,23,34,0,4.2,0.4,1.4,0.265,0.1,0.6,0.23800000000000002,0.2,0.8,0.28600000000000003,0.316,0.1,0.1,1.0,0.3,0.6,0.9,0.3,0.1,0.0,0.3,0.2,1.1
PF,25,78,15,18.5,2.9,6.3,0.465,0.2,0.6,0.33299999999999996,2.8,5.8,0.478,0.48,1.3,1.8,0.752,1.8,3.0,4.8,0.9,0.6,0.4,1.1,2.4,7.4
PF,33,57,11,19.2,3.7,6.7,0.544,0.0,0.1,0.0,3.7,6.7,0.5489999999999999,0.544,1.9,3.2,0.578,0.9,3.6,4.5,1.7,0.9,0.5,1.3,2.7,9.2
SF,21,29,17,21.2,2.2,4.8,0.457,0.1,0.5,0.28600000000000003,2.0,4.3,0.47600000000000003,0.47100000000000003,1.3,1.8,0.7120000000000001,1.3,4.0,5.3,1.5,1.3,0.6,0.9,2.1,5.8
PG,25,65,23,28.2,6.3,14.4,0.439,1.3,4.0,0.336,5.0,10.4,0.478,0.485,2.8,3.3,0.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3,16.8
PF,39,38,38,14.6,1.4,3.0,0.47,0.0,0.0,0.0,1.4,3.0,0.474,0.47,0.4,0.6,0.667,0.4,3.6,3.9,1.6,0.7,0.3,0.4,1.8,3.2
PF,30,74,73,32.4,4.6,10.1,0.455,1.2,3.5,0.344,3.4,6.6,0.513,0.514,2.0,2.6,0.755,1.5,4.5,6.0,1.9,1.0,0.4,1.1,1.6,12.3
SG,24,52,50,36.0,7.1,17.2,0.415,2.3,6.8,0.342,4.8,10.5,0.461,0.48200000000000004,3.0,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6
PG,28,66,13,21.4,2.1,5.4,0.39299999999999996,0.5,1.6,0.33299999999999996,1.6,3.7,0.419,0.444,0.9,1.3,0.6859999999999999,0.4,1.4,1.8,3.6,0.8,0.1,1.4,1.3,5.7
C,31,47,18,23.3,5.2,10.7,0.485,0.0,0.0,0.0,5.2,10.7,0.485,0.485,1.5,2.4,0.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,12.0
SG,22,38,2,10.1,1.4,3.4,0.397,0.5,1.3,0.38,0.9,2.1,0.40700000000000003,0.469,0.8,1.1,0.725,0.1,1.1,1.2,0.7,0.2,0.0,0.5,0.7,4.0
PF,20,24,4,15.1,1.8,4.5,0.40399999999999997,0.5,1.4,0.382,1.3,3.1,0.413,0.46299999999999997,0.5,1.0,0.478,1.0,1.8,2.8,0.4,1.2,0.5,0.6,1.6,4.7
SF,22,40,5,10.0,0.8,1.9,0.405,0.3,0.9,0.297,0.5,0.9,0.514,0.48,0.7,0.7,0.929,0.2,1.3,1.5,0.9,0.2,0.1,0.6,0.7,2.4
PF,19,5,0,4.2,0.8,1.4,0.5710000000000001,0.2,0.4,0.5,0.6,1.0,0.6,0.643,0.0,0.0,0.0,0.8,1.2,2.0,0.0,0.0,0.0,0.2,0.4,1.8
PF,33,76,4,18.2,2.7,5.0,0.527,0.3,0.9,0.36200000000000004,2.3,4.1,0.564,0.56,0.7,1.0,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4
SG,24,44,3,9.3,0.8,2.4,0.34299999999999997,0.3,0.9,0.308,0.5,1.5,0.364,0.4,0.8,1.3,0.655,0.1,0.8,0.9,0.5,0.3,0.0,0.5,0.9,2.7
PG,28,56,56,31.4,5.3,12.4,0.42200000000000004,1.4,3.8,0.363,3.9,8.6,0.449,0.478,3.4,4.1,0.8340000000000001,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3
PG,31,65,63,32.4,4.9,11.9,0.414,1.5,4.3,0.344,3.4,7.6,0.45399999999999996,0.47700000000000004,2.8,3.2,0.8690000000000001,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1
C,31,37,12,12.4,1.3,2.1,0.62,0.0,0.0,0.0,1.3,2.1,0.62,0.62,0.7,1.1,0.619,1.3,1.4,2.6,0.3,0.2,0.6,0.6,1.7,3.4
SG,23,66,0,18.6,3.5,7.7,0.451,0.8,2.7,0.309,2.6,5.0,0.529,0.506,1.0,1.3,0.727,0.7,3.2,3.8,1.2,0.6,0.5,0.8,1.6,8.8
SG,28,3,0,14.3,2.3,6.7,0.35,1.3,3.0,0.444,1.0,3.7,0.273,0.45,1.3,1.3,1.0,0.3,1.3,1.7,1.0,0.0,0.0,0.3,0.7,7.3
PF,31,53,53,33.5,6.8,14.5,0.467,1.5,4.2,0.365,5.2,10.3,0.508,0.52,4.0,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1
SG,28,76,41,21.3,2.9,7.4,0.389,1.3,3.5,0.358,1.6,3.9,0.41600000000000004,0.474,0.7,0.8,0.857,0.3,2.0,2.3,1.1,0.6,0.1,0.6,1.1,7.7
SG,30,69,14,22.6,3.3,8.5,0.392,1.2,3.8,0.32299999999999995,2.1,4.7,0.446,0.46299999999999997,1.0,1.3,0.7829999999999999,0.4,2.0,2.4,0.8,0.6,0.3,0.7,1.8,8.9
C,27,82,82,27.1,4.4,8.1,0.539,0.0,0.0,0.0,4.4,8.1,0.54,0.539,1.6,2.0,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3
SF,25,22,5,15.0,2.5,5.1,0.478,1.2,2.6,0.44799999999999995,1.3,2.5,0.509,0.593,1.1,1.5,0.735,1.0,1.0,1.9,1.0,0.7,0.2,0.9,1.3,7.2
C,21,32,3,17.1,3.2,7.6,0.41700000000000004,0.0,0.1,0.0,3.2,7.5,0.423,0.41700000000000004,1.9,3.1,0.616,2.0,3.4,5.5,1.3,0.8,1.4,1.7,2.8,8.2
SG,24,79,79,36.1,6.4,14.5,0.444,1.8,4.6,0.396,4.6,9.9,0.466,0.507,3.5,3.9,0.888,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.2
PG,28,61,33,21.6,2.5,5.7,0.44,0.6,1.6,0.384,1.9,4.1,0.462,0.494,1.3,1.7,0.75,0.3,2.6,2.8,4.4,0.5,0.1,1.3,1.2,7.0
SF,20,20,1,7.8,0.7,1.9,0.35100000000000003,0.2,0.7,0.231,0.5,1.2,0.41700000000000004,0.392,0.4,0.4,0.875,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,1.8
PG,31,74,16,22.5,4.3,9.6,0.446,1.4,3.5,0.385,2.9,6.1,0.48100000000000004,0.516,1.0,1.3,0.7709999999999999,0.4,1.7,2.1,4.1,0.4,0.0,1.5,1.5,10.9
PF,35,76,76,21.5,3.5,7.9,0.45,0.9,2.1,0.40399999999999997,2.7,5.8,0.467,0.504,0.8,1.1,0.726,1.1,3.6,4.7,0.9,0.6,0.4,0.9,2.3,8.7
C,30,25,0,3.8,0.4,0.7,0.529,0.0,0.0,0.0,0.4,0.7,0.529,0.529,0.2,0.4,0.455,0.5,0.6,1.0,0.1,0.2,0.2,0.3,0.4,0.9
PF,25,8,0,6.3,1.1,2.8,0.409,0.0,0.1,0.0,1.1,2.6,0.429,0.409,0.5,0.8,0.667,0.8,1.3,2.0,0.0,0.0,0.1,0.0,1.0,2.8
C,23,82,1,21.0,5.0,8.8,0.5760000000000001,0.1,0.3,0.47600000000000003,4.9,8.5,0.579,0.583,2.4,3.1,0.797,3.0,5.1,8.1,0.4,0.3,0.4,1.4,2.0,12.7
SG,32,81,8,20.3,2.1,6.0,0.35100000000000003,0.9,3.1,0.3,1.2,2.9,0.405,0.428,0.8,0.9,0.8240000000000001,0.3,1.6,1.9,2.0,0.5,0.4,1.1,1.6,5.9
C,25,65,65,34.6,9.2,20.5,0.451,1.1,3.2,0.33299999999999996,8.2,17.3,0.473,0.47700000000000004,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9
C,28,17,0,6.3,0.7,1.4,0.522,0.0,0.1,0.0,0.7,1.3,0.545,0.522,0.4,0.4,1.0,0.2,1.1,1.3,0.3,0.0,0.2,0.4,1.1,1.8
PG,23,27,1,8.5,1.3,3.0,0.45,0.2,0.5,0.385,1.1,2.5,0.46299999999999997,0.48100000000000004,1.0,1.3,0.743,0.3,1.1,1.4,1.1,0.3,0.1,0.6,0.3,3.8
C,21,67,62,29.3,4.6,8.8,0.521,0.0,0.0,0.5,4.6,8.7,0.521,0.522,2.0,3.4,0.59,2.3,5.8,8.1,1.8,1.8,1.5,2.4,2.9,11.1
SF,28,30,2,8.4,0.9,1.6,0.542,0.1,0.5,0.25,0.7,1.1,0.688,0.583,0.5,0.7,0.7140000000000001,0.4,1.4,1.8,0.1,0.2,0.3,0.2,0.6,2.4
C,24,59,15,17.6,3.3,6.4,0.513,0.2,0.9,0.245,3.1,5.5,0.557,0.53,1.1,1.2,0.899,1.3,3.6,4.9,0.9,0.2,0.3,0.9,1.9,7.9
C,29,76,48,17.4,2.7,4.7,0.565,0.0,0.1,0.14300000000000002,2.7,4.6,0.574,0.5670000000000001,0.9,1.3,0.716,1.4,3.0,4.4,0.4,0.3,0.8,0.9,2.1,6.3
SG,22,76,76,36.7,5.3,12.6,0.42,1.5,4.9,0.309,3.8,7.8,0.489,0.479,2.4,3.0,0.8109999999999999,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5
C,25,82,82,25.4,3.3,6.3,0.516,0.0,0.0,0.0,3.3,6.3,0.52,0.516,2.6,4.1,0.642,2.5,5.2,7.7,2.8,0.8,1.0,1.9,3.1,9.1
C,32,2,0,12.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.5,3.0,2.0
